"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
"11/5/2019 8:59:07",117,"08","26","0826",35,3.55534806148941,197,65
"11/5/2019 9:01:39",118,"02","18","0218",35,3.55534806148941,39,95
"11/5/2019 9:03:53",119,"60","02","6002",19,2.94443897916644,1516,70
"11/5/2019 9:04:04",120,"39","30","3930",28,3.3322045101752,947,70
"11/5/2019 9:04:22",121,"30","07","3007",80,4.38202663467388,676,115
"11/5/2019 9:07:42",122,"27","23","2723",67,4.20469261939097,633,127
"11/5/2019 9:08:22",123,"46","08","4608",55,4.00733318523247,1142,124
"11/5/2019 9:09:28",124,"08","12","0812",2,0.693147180559945,183,1
"11/5/2019 9:09:50",125,"06","03","0603",34,3.52636052461616,133,129
"11/5/2019 9:10:16",126,"48","16","4816",10,2.30258509299405,1187,54
"11/5/2019 9:13:43",127,"39","46","3946",69,4.23410650459726,963,125
"11/5/2019 9:13:56",128,"22","01","2201",64,4.15888308335967,493,133
"11/5/2019 9:14:30",129,"15","13","1513",52,3.95124371858143,345,110
"11/5/2019 9:14:36",130,"46","08","4608",34,3.52636052461616,1142,60
"11/5/2019 9:15:06",131,"46","08","4608",35,3.55534806148941,1142,65
"11/5/2019 9:15:43",132,"47","01","4701",34,3.52636052461616,1158,135
"11/5/2019 9:15:45",133,"18","01","1801",3,1.09861228866811,399,30
"11/5/2019 9:17:06",134,"08","13","0813",32,3.46573590279973,184,110
"11/5/2019 9:19:09",135,"18","14","1814",35,3.55534806148941,412,120
"11/5/2019 9:19:37",136,"29","17","2917",26,3.25809653802148,668,105
"11/5/2019 9:20:04",137,"30","05","3005",52,3.95124371858143,674,135
"11/5/2019 9:20:05",138,"05","01","0501",35,3.55534806148941,94,115
"11/5/2019 9:20:08",139,"36","37","3637",65,4.17438726989564,871,139
"11/5/2019 9:20:59",140,"08","28","0828",72,4.27666611901606,199,139
"11/5/2019 9:21:22",141,"02","05","0205",46,3.8286413964891,26,90
"11/5/2019 9:22:09",142,"01","16","0116",35,3.55534806148941,16,126
"11/5/2019 9:23:53",143,"05","04","0504",53,3.97029191355212,97,97
"11/5/2019 9:25:40",144,"05","01","0501",62,4.12713438504509,94,145
"11/5/2019 9:25:48",145,"05","28","0528",49,3.89182029811063,121,145
"11/5/2019 9:26:08",146,"46","03","4603",44,3.78418963391826,1137,90
"11/5/2019 9:26:12",147,"05","37","0537",47,3.85014760171006,130,146
"11/5/2019 9:27:16",148,"05","06","0506",55,4.00733318523247,99,125
"11/5/2019 9:28:26",149,"46","23","4623",78,4.35670882668959,1157,147
"11/5/2019 9:30:24",150,"30","08","3008",30,3.40119738166216,677,117
"11/5/2019 9:32:29",151,"18","16","1816",50,3.91202300542815,414,151
"11/5/2019 9:34:19",152,"31","18","3118",16,2.77258872223978,704,78
"11/5/2019 9:35:35",153,"01","03","0103",76,4.33073334028633,3,151
"11/5/2019 9:35:43",154,"01","03","0103",76,4.33073334028633,3,151
"11/5/2019 9:36:22",155,"39","45","3945",83,4.4188406077966,962,156
"11/5/2019 9:36:48",156,"15","07","1507",70,4.24849524204936,339,150
"11/5/2019 9:39:04",157,"31","04","3104",60,4.0943445622221,690,135
"11/5/2019 9:39:46",158,"08","01","0801",85,4.44265125649032,172,159
"11/5/2019 9:39:58",159,"29","11","2911",43,3.76120011569356,662,160
"11/5/2019 9:41:35",160,"27","23","2723",34,3.52636052461616,633,74
"11/5/2019 9:41:42",161,"05","05","0505",1,0,98,105
"11/5/2019 9:43:00",162,"18","17","1817",73,4.29045944114839,415,150
"11/5/2019 9:43:02",163,"01","02","0102",28,3.3322045101752,2,75
"11/5/2019 9:43:59",164,"39","10","3910",8,2.07944154167984,927,15
"11/5/2019 9:45:57",165,"01","11","0111",58,4.06044301054642,11,135
"11/5/2019 9:46:01",166,"46","22","4622",75,4.31748811353631,1156,158
