"warddiv","n_apps","n_req","n_mailed","n_ret","n_reg","turnout_16"
"29-18",206.971962095875,206.971962095875,197.745094760312,125.114938684504,424,316
"30-01",683.624283188076,683.624283188076,660.447631678666,505.441404572439,1111,835
"30-02",448.484442394188,448.484442394188,425.321990927613,326.927565063622,688,487
"30-03",460.816352263429,460.816352263429,448.875692099005,352.629880664064,675,520
"30-04",356.873224102235,356.873224102235,337.17621903334,253.688072035411,568,317
"30-05",391.422733688101,391.422733688101,373.420596569847,274.875286807146,658,462
"30-06",487.259774233762,487.259774233762,471.156822412969,351.830743419499,761,629
"30-07",806.975781065511,806.975781065511,781.993247881554,589.675976022977,1162,915
"30-08",503.614928799337,503.614928799337,490.131774222779,381.861958169267,710,611
"30-09",590.952681351632,590.952681351632,573.609781647638,449.832356898474,883,689
"30-10",380.284073622529,380.284073622529,364.115656732074,271.775614527901,622,467
"30-11",453.716941529235,453.716941529235,436.634132933533,326.182683658171,742,528
"30-12",437.347255218545,437.347255218545,417.50285434206,322.798562257333,656,509
"30-13",517.800716949218,517.800716949218,506.381922500288,406.49521681467,781,628
"30-14",394.740185676393,394.740185676393,379.83240495137,289.740097259063,616,529.402951191828
"30-15",506.796789791917,506.796789791917,491.683235305424,378.281821863793,807,579.597048808172
"30-16",579.566107880126,579.566107880126,553.864491655271,434.960478277345,875,689
"30-17",1115.59262264472,1115.59262264472,1084.15955758385,845.503051770818,1684,1202
"31-01",469.699469106518,469.699469106518,454.175917767988,316.107974697843,758,489
"31-02",163.428606122218,163.428606122218,157.059324522761,84.5323562634135,417,227
"31-03",413.195724613125,413.195724613125,400.761380323054,283.606065740427,718,429
"31-04",356.644781430024,356.644781430024,347.462922173275,255.341155540495,701,475
"31-05",270.57411611883,270.57411611883,260.434728340675,198.469660002259,545,380.048076923077
"31-06",241.894225302061,241.894225302061,232.372903340441,152.173649609097,503,408.951923076923
"31-07",386.24728788915,386.24728788915,378.407805482136,252.466252641566,818,574
"31-08",489.635942618321,489.635942618321,473.893538913363,318.371088896419,937,454
"31-09",371.010504913589,371.010504913589,363.831130690162,278.659578673896,690,400
"31-10",315.964910199932,315.964910199932,309.567841409692,207.99907940811,576,248
"31-11",347.848525923416,347.848525923416,334.494126284875,210.376397831244,732,425
"31-12",269.016853044166,269.016853044166,263.356681350954,172.194363492601,607,353
"31-13",271.678690839264,271.678690839264,264.463876651982,190.605551790354,520,353
"31-14",243.301875070598,243.301875070598,237.498531571219,161.736727662939,511,414
"31-15",314.63434612651,314.13434612651,301.750906183369,198.016826581379,643,467
"31-16",243.936869225302,243.936869225302,237.443514570007,158.740031982942,638,507
"31-17",171.784506041222,171.784506041222,165.941400142146,102.089658848614,462,334
"31-18",190.365724946695,190.365724946695,181.609683724236,119.867395167022,433,297
"31-19",194.355188343994,194.355188343994,190.923063255153,115.414854299929,495,344
"32-01",85.519397993311,85.519397993311,76.7515050167224,37.3098104793757,263,161
"32-02",141.596153846154,141.596153846154,127.484615384615,77.0923076923077,423,319
"32-03",117.882720178372,117.882720178372,113.443199554069,74.3828316610925,358,263
"32-04",146.183389074693,146.183389074693,135.8248606466,87.8682274247492,397,270
"32-05",94.5919906545468,94.5919906545468,83.1562132661629,42.0597762202022,271,234
"32-06",160.674681748726,160.674681748726,148.713038263164,95.4227644184385,390,299
"32-07",226.501587345046,226.501587345046,207.898197792971,105.606415351159,688,650
"32-08",170.328457087577,170.328457087577,150.37970193115,84.561687292374,452,423
"32-09",218.329222663767,218.329222663767,195.653451481348,118.387608539199,635,460
"32-10",214.60618729097,214.60618729097,208.242865105909,136.689910813824,484,348
"32-11",195.748671584503,195.748671584503,180.373776538323,102.644818279957,610,425
"32-12",170.688077767521,170.688077767521,156.217344368478,101.619838358079,559,373
"32-13",90.8748606465998,90.8748606465998,85.8545150501672,46.4960981047938,299,195
"32-14",70.4536789297659,70.4536789297659,65.4408026755853,44.3030100334448,200,142
"32-15",111.0497212932,111.0497212932,103.192363433668,64.2921962095875,363,260
"32-16",111.642196209588,111.642196209588,106.786176142698,67.9481605351171,342,258
"32-17",111.469955406912,111.469955406912,106.116778149387,61.0920847268673,313,217
"32-18",161.181995540691,161.181995540691,148.986677814939,89.6125418060201,437,320
"32-19",124.307134894091,124.307134894091,117.698829431438,72.8497770345596,393,304
"32-20",82.6539576365663,82.6539576365663,79.7984392419175,46.477480490524,356,256
"32-21",144.664548494983,144.664548494983,139.221962095875,90.4240245261984,403,330
"32-22",113.596655518395,113.596655518395,109.32502787068,65.2896878483835,348,268
"32-23",139.583835005574,139.583835005574,131.940412486065,78.1640468227425,415,297
"32-24",113.191750278707,113.191750278707,105.970624303233,73.8523411371237,318,294
"32-25",120.086231884058,120.086231884058,115.809420289855,66.9478260869565,415,339
"32-26",121.807246376812,121.807246376812,114.165217391304,73.0195652173913,390,289
"32-27",108.994593088071,108.994593088071,104.221850613155,62.3986064659978,356,194
"32-28",213.601114827202,213.601114827202,202.530546265329,113.414548494983,588,495
"32-29",109.065719063545,109.065719063545,103.210702341137,60.0234671125975,340,282
"32-30",146.740468227425,146.740468227425,140.048829431438,91.383110367893,406,312
"32-31",185.160200668896,185.160200668896,172.716164994426,110.16895206243,436,308
"33-01",204.521389144434,204.521389144434,197.958831646734,117.0875958295,554,416
"33-02",185.958806092201,185.958806092201,179.694102013697,105.524506797506,584,384
"33-03",157.262828375754,156.262828375754,147.759777164469,100.288418685475,463,330
"33-04",169.376530716549,169.376530716549,163.707119492998,97.6212409281407,469,335
"33-05",153.596161709087,153.596161709087,147.543110497802,86.7717520188081,458,360
"33-06",186.047604688405,186.047604688405,175.65877201949,89.5369433370813,604,428
"33-07",203.495689802038,203.495689802038,195.8265954547,121.559601690006,723,495
"33-08",153.795770846415,153.795770846415,147.894155799906,80.8899933314837,598,410
"33-09",174.087723602167,174.087723602167,169.43324644792,98.5019063681897,625,415
"33-10",139.468293638625,139.468293638625,134.741113836928,72.9675218917169,511,363
"33-11",239.560117891581,239.560117891581,235.228036730383,140.320135268663,698,471
"33-12",265.825774058985,265.825774058985,261.316293327103,148.280880584882,788,492
"33-13",173.767699069815,173.767699069815,171.868741694777,94.6760400695083,557,391
"33-14",142.187793451225,142.187793451225,137.262044703397,76.8984701352687,524,374
"33-15",133.757686803639,133.757686803639,129.778155984872,70.321440253501,544,368
"33-16",118.269613956182,118.269613956182,116.350918259566,60.5200483832499,431,267
"33-17",120.42954250084,120.42954250084,116.344384573823,61.1625647989953,419,227
"33-18",102.343791952026,102.343791952026,98.6294916351494,61.0627227503492,371,255
"33-19",145.791544856724,145.791544856724,140.855063204879,75.199691641964,547,323
"33-20",117.36551914643,117.36551914643,113.976885802875,60.2278809694173,439,259
"33-21",84.3346366145354,84.3346366145354,81.4247316773996,44.888730450782,347,231
"33-22",187.984427067362,187.984427067362,180.621670244301,88.8823724828785,646,400
"33-23",107.819019387373,107.819019387373,105.928546117415,54.8285665610413,459,275
"33-24",111.140542875639,111.140542875639,104.585856174219,59.0340016452252,441,286
"34-01",162.386445130406,162.386445130406,157.381809688073,101.29821733377,439,322
"34-02",252.499399775337,252.499399775337,245.594718982016,161.592630030822,580,429
"34-03",180.336840153326,180.336840153326,172.262942835309,109.970245823781,464,332
"34-04",140.618652876701,140.618652876701,134.878873530429,93.0528107409913,402,288
"34-05",205.978504116278,205.978504116278,198.106666365687,127.994955225464,436,324
"34-06",272.248579087396,272.248579087396,264.764493968336,192.299247857179,603,473
"34-07",273.331565163435,273.331565163435,260.908927657437,172.918464381875,600,464
"34-08",313.042256918194,313.042256918194,307.161385648682,224.666439554632,599,487
"34-09",185.539239130472,185.539239130472,178.710341521678,114.616627590337,420,329
"34-10",276.855765203974,276.855765203974,263.653012720382,170.740802192151,591,449
